spell_id,key,name,effect_id
865,spell_865_next_attack,Враждебность: следующая атака,4814
866,spell_866_next_attack,Враждебность: следующая атака,4815
1342,spell_1342_stealth,Вредоносные волны: союзник,4816
1342,spell_1342_poison,Вредоносные волны: враг,4817
1126,spell_1126_mental_saves,Духовное разделение: помутнение,4818
483,spell_483_mocked,Злая насмешка: помеха атаке,4819
890,spell_890_poison,Змеиный язык: отравление,4820
898,spell_898_vulnerability,Конус шипов: уязвимость,4821
604,spell_604_poison,Луч болезни: отравление,4822
497,spell_497_slowed,Луч холода: замедление,4823
619,spell_619_performance,Неземной хор: выступление,4824
621,spell_621_speed,Неутомимость,4825
503,spell_503_frostbite,Обморожение: помеха оружию,4826
632,spell_632_armor,Ослабленная броня,4827
1248,spell_1248_feast,Пир героев: благословение,4828
1167,spell_1167_weakened,Пиявка Лей: ослабление,4829
1078,spell_1078_incapacitated,Психическое копье Раулотима: недееспособность,4830
975,spell_975_fur,Сила стаи: толстый мех,4831
1197,spell_1197_confused,Синоптический разряд: помутнение,4832
825,spell_825_incapacitated,Теневые марионетки: недееспособность,4833
1100,spell_1100_caster,Чёрная рука: заклинатель,4834
1100,spell_1100_target,Чёрная рука: цель,4835
1104,spell_1104_despair,Эго кнут: отчаяние,4836
1382,spell_1382_defenses,Эталон хаоса,4837
856,spell_856_poison,Ядовитый залп: отравление,4838
